"Timestamp","I voluntarily agree to participate in this stress-monitoring survey. My responses will remain confidential and used for academic research only. ","  Age  ","Gender","Current status","  Field of study/work  ","How many hours did you sleep last night? 
Enter a number, e.g, 8","How many hours did you spend working/studying today? 
Enter a number, e.g. 6","How many hours did you spend doing hobbies today?
Enter a number, e.g. 2","  How long was your commute today?  ","Number of tasks you needed to complete today:
Enter a number, e.g., 3","How would you rate your tasks' difficulty today?  ","Amount of social interaction today:
( talking, calling, chatting, meetings) 
Enter a number of hours, e.g 4","Quality of social interactions today:  ","  Did you face any stressful situation today?  ","If yes, what type of stressor?
(Select all that apply)","How satisfied are you with your home environment today? 
(Consider comfort, support, noise, privacy, and general atmosphere)","On a scale from 1 to 10, how stressed do you feel today? 
(1 = No stress, 10 = Extremely stressed)","How often did you overthink situations or tasks today?  ","How stressed did you feel when working under pressure or facing deadlines today?  "
"2025/10/30 9:33:37 PM GMT+3","I agree","18-24","Female","Both","Biomedical informatics","4","6","0","> 2 hours","4","Hard","5","Low (negative, draining)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance","Dissatisfied","10","Almost always","Highly stressed"
"2025/10/30 9:43:54 PM GMT+3","I agree","18-24","Female","Student","Engineering ","8","6","0","< 30 min","5","Hard","Calling 1 hour , chatting 1 h","Low (negative, draining)","Yes","Academic/work failure or poor performance","Satisfied","8","Often","Highly stressed"
"2025/10/30 9:46:09 PM GMT+3","I agree","18-24","Female","Student","Student ","9","2","0","30-60 min","4","Moderate","4","Medium (neutral)","No","","Satisfied","2","Rarely","Highly stressed"
"2025/10/30 9:46:48 PM GMT+3","I agree","18-24","Female","Student","Computer science","Almost 8","5","I didn't do my hobbies today","30-60 min","4","Moderate;Hard","Most of the day I did this","High (positive, supportive)","Yes","Academic/work failure or poor performance;Financial stress","Satisfied","4","Almost always","Highly stressed"
"2025/10/30 9:48:20 PM GMT+3","I agree","18-24","Female","Student","Computer science ","4","3","0","1 hour","1","Moderate","6","Medium (neutral)","Yes","Academic/work failure or poor performance;Personal disappointment","Satisfied","7","Almost always","Highly stressed"
"2025/10/30 9:51:03 PM GMT+3","I agree","18-24","Female","Student","Engineering ","8","4","2","1 hour","5","Moderate","2","Medium (neutral)","Yes","Personal disappointment","Satisfied","6","Rarely","Slightly stressed"
"2025/10/30 9:51:20 PM GMT+3","I agree","18-24","Female","Student","School of engineering ","6","8","1","30-60 min","3","Moderate;Hard","2","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","4","Almost always","Highly stressed"
"2025/10/30 9:52:25 PM GMT+3","I agree","18-24","Female","Student","Engineering ","7","2","0 ","30-60 min","4","Moderate","3","High (positive, supportive)","No","","Satisfied","5","Rarely","Slightly stressed"
"2025/10/30 9:53:15 PM GMT+3","I agree","18-24","Female","Student","Computer science","6","6","1.5","30-60 min","6","Easy;Moderate;Hard","3","Medium (neutral)","Yes","Arguing/conflict with someone;Academic/work failure or poor performance;Transportation problem / car issue;Personal disappointment","Satisfied","8","Almost always","Highly stressed"
"2025/10/30 9:53:18 PM GMT+3","I agree","18-24","Female","Student","medicine ","7","10","3","30-60 min","2","Easy","4","Medium (neutral)","Yes","Health-related stress","Satisfied","4","Rarely","Slightly stressed"
"2025/10/30 9:53:42 PM GMT+3","I agree","18-24","Female","Both","Biomedical informatics student","6","6","None","30-60 min","4","Moderate","12","Medium (neutral)","No","","Satisfied","4","Often","Slightly stressed"
"2025/10/30 9:58:19 PM GMT+3","I agree","18-24","Female","Student","Computer engineering ","4","5","1","> 2 hours","3","Moderate","4","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","5","Often","Highly stressed"
"2025/10/30 10:05:32 PM GMT+3","I agree","<18","Female","Student","","8","1","5","< 30 min","4","Moderate","4","Medium (neutral)","Yes","Arguing/conflict with someone","Satisfied","6","Often","Slightly stressed"
"2025/10/30 10:05:47 PM GMT+3","I agree","18-24","Female","Both","Mass com /social media specialist","8 hours","3 hours","None","1 hour","3","Moderate","All day","Medium (neutral)","Yes","Academic/work failure or poor performance","Satisfied","8","Almost always","Highly stressed"
"2025/10/30 10:12:04 PM GMT+3","I agree","18-24","Female","Student","Computer science ","6","8","2","","4","Moderate","2","Medium (neutral)","No","","Satisfied","3","Often","Slightly stressed"
"2025/10/30 10:12:07 PM GMT+3","I agree","18-24","Female","Employee","Finance ","7","4","1","1 hour","1","Moderate","1","Medium (neutral)","Yes","Academic/work failure or poor performance","Dissatisfied","4","Almost always","Slightly stressed"
