Age,Gender,Current_status,Sleep_hours,Work_hours,Hobby_hours,Commute_time,Number_of_tasks,Task_difficulty,Work_under_pressure,Social_hours,Social_quality,Home_environment,Stressful_event,Arguing/conflict with someone,Academic/work failure or poor performance,Transportation problem / car issue,Financial stress,Health-related stress,Bad weather,Overthinking,Stress_scale
2,1,2,6.567927932486169,7.823735663754376,1.5473494238189764,45,9.292008504229402,2,0,1.3533137823749701,0,1,0,0,0,0,0,0,0,2,0
0,0,1,8.453281708951794,1.1392463117188185,0.7224773572473652,45,6.691416483031138,0,1,1.79342038692756,2,1,1,0,0,0,1,0,0,2,1
2,0,0,6.831216704777679,1.3905499214657553,3.898927317271015,15,0.8501441226881566,0,0,7.7614109779128375,0,1,1,0,0,1,1,0,1,2,2
1,1,2,5.2702540463710115,6.737615427416051,1.1889879295240795,15,8.89959725247837,0,2,5.811840991431342,0,1,1,0,0,0,0,1,0,2,2
0,0,2,5.380707144657661,6.197736645822979,6.4056689777408415,60,10.68067166113846,2,1,1.8658328539872375,0,1,0,0,0,0,0,0,0,1,1
0,0,1,8.177515799085418,1.2597152052570952,1.5877713989544093,150,0.9539779262516093,2,1,10.049207262780754,0,1,1,0,1,1,1,0,0,1,0
1,0,2,7.122980432227821,7.3580680589967145,1.79547239630887,60,5.830411345858814,2,1,10.448299871593782,2,0,0,0,0,0,0,0,0,1,0
0,0,1,8.155129558744454,3.488272237576904,3.5407554764359213,15,2.9585554040888273,1,0,2.004278637786126,0,1,0,0,0,0,0,0,0,0,1
1,0,2,6.864276961695032,8.028225665327994,2.0186444555853833,45,5.948041621775901,2,2,4.250422735050284,0,0,0,0,0,0,0,0,0,1,1
0,0,2,6.3131091974044855,8.955952154668728,1.4243683641130427,45,5.280043426302151,0,2,5.855902196811493,0,1,1,0,0,1,1,1,0,2,2
2,1,3,4.082357147204621,10.914402295647985,5.870401210199349,45,11.694776898942067,0,2,3.4206483996484875,2,0,1,1,1,0,0,0,1,2,1
0,1,2,6.735124289107397,7.8934969192023265,2.7457998251292595,45,6.749075945945545,1,1,7.786793859982689,0,0,1,1,1,0,0,0,0,3,1
0,1,0,6.972509428349551,1.310302877399652,4.054462324744801,15,1.0902819370940011,1,1,4.401329194054176,2,1,0,0,0,0,0,0,0,2,0
0,0,3,5.367088960540195,11.255389263324906,3.4611851705087906,60,11.568559390525197,2,0,3.4232225842655772,2,1,1,0,1,0,1,0,1,1,1
1,0,1,8.483092764909625,1.204669398839573,2.3960388943313196,45,5.196852873348997,2,1,6.051015708376659,0,0,0,0,0,0,0,0,0,1,1
2,0,2,8.006238524667733,7.566939474882919,0.9807828701305996,60,3.9249162487423623,2,1,2.274941185195808,2,1,1,0,0,0,0,1,0,3,2
1,1,2,4.968338817581698,6.253656424945843,2.4967420046005326,45,5.308892818604037,1,0,10.378702269831722,0,0,1,0,0,0,0,0,0,1,2
2,1,0,8.282671189781533,0.9274891150601244,6.007392146143382,15,3.1653736626001185,0,0,4.774219667821051,2,1,1,0,1,0,0,1,0,2,2
0,0,1,8.721764905379056,2.41694104638024,2.8793801864801303,150,4.462315359201045,0,1,5.01433123941238,0,1,1,1,0,0,0,0,1,3,2
3,0,3,5.004152736027693,10.750130090144008,3.7161756786425255,45,13.363669249107637,1,1,7.229629491024205,0,1,1,0,1,1,1,0,0,3,2
