Age,Gender,Current_status,Field_of_study,Hours_slept,Work_hours,Hobby_hours,Commute_time,Number_of_tasks,Task_difficulty,Social_interaction_hours,Social_interaction_quality,Stressful_event,Stress_type,Home_environment,Stress_scale,Overthinking,Stress_under_pressure
36+,Female,Student,Computer Science,5.3,1,6.2,30-60 min,6,Easy,6,High,No,None,Satisfied,1,Rarely,Highly stressed
18-24,Male,Student,Arts,7.1,0,5.7,< 30 min,2,Moderate,6,Medium,Yes,"Personal disappointment, Health-related stress, Academic/work failure or poor performance",Satisfied,9,Often,Slightly stressed
36+,Female,Employee,Administration,5.1,7,5.5,30-60 min,10,Moderate,4,High,Yes,"Arguing/conflict with someone, Health-related stress, Academic/work failure or poor performance",Satisfied,7,Almost always,Not stressed
36+,Female,Employee,Other,6.4,7,1.1,1 hour,10,Hard,7,Medium,Yes,"Bad weather, Health-related stress",Satisfied,5,Often,Highly stressed
25-35,Male,Student,Psychology,7.4,1,4.6,< 30 min,7,Moderate,10,High,No,None,Dissatisfied,5,Often,Slightly stressed
18-24,Female,Employee,Administration,6.2,9,4.2,1 hour,5,Moderate,9,Low,Yes,Arguing/conflict with someone,Dissatisfied,7,Almost always,Slightly stressed
18-24,Male,Employee,Customer Service,5.0,7,1.2,30-60 min,6,Hard,4,Medium,No,None,Dissatisfied,5,Almost always,Slightly stressed
36+,Female,Employee,Administration,7.4,7,2.4,30-60 min,6,Moderate,3,Low,Yes,Financial stress,Satisfied,8,Often,Not stressed
36+,Female,Employee,Administration,7.5,7,3.8,1 hour,7,Moderate,5,Medium,Yes,"Bad weather, Transportation problem / car issue",Dissatisfied,8,Often,Slightly stressed
25-35,Female,Student,Law,8.4,1,2.7,< 30 min,5,Moderate,3,Medium,No,None,Dissatisfied,3,Rarely,Not stressed
18-24,Male,Employee,Healthcare,6.3,9,1.9,30-60 min,7,Hard,7,Medium,No,None,Satisfied,2,Often,Highly stressed
18-24,Female,Both,Medicine,4.8,11,2.0,1 hour,9,Moderate,3,Medium,Yes,"Financial stress, Health-related stress, Arguing/conflict with someone",Satisfied,7,Never,Not stressed
18-24,Male,Both,Engineering,4.9,11,0.8,1 hour,9,Moderate,3,Low,Yes,Personal disappointment,Satisfied,4,Often,Slightly stressed
25-35,Female,Student,Education,8.4,3,5.1,1 hour,4,Easy,2,Medium,Yes,"Arguing/conflict with someone, Bad weather, Academic/work failure or poor performance",Satisfied,8,Rarely,Slightly stressed
18-24,Male,Employee,Customer Service,6.8,9,1.3,1 hour,6,Easy,1,High,Yes,"Financial stress, Personal disappointment",Satisfied,9,Never,Slightly stressed
25-35,Male,Employee,Other,6.4,6,6.8,30-60 min,9,Hard,1,Medium,Yes,Arguing/conflict with someone,Satisfied,3,Never,Slightly stressed
25-35,Female,Student,Education,8.7,0,0.8,30-60 min,6,Easy,4,Medium,No,None,Satisfied,1,Rarely,Highly stressed
25-35,Female,Student,Medicine,6.6,2,2.5,30-60 min,3,Moderate,4,Medium,Yes,"Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,7,Often,Not stressed
25-35,Male,Student,Computer Science,8.2,2,6.5,< 30 min,6,Hard,1,Medium,No,None,Satisfied,4,Almost always,Highly stressed
18-24,Female,Employee,Other,6.4,8,4.3,1 hour,10,Easy,7,Medium,No,None,Satisfied,2,Never,Slightly stressed
25-35,Male,Student,Psychology,7.6,0,2.0,< 30 min,2,Easy,3,Medium,No,None,Satisfied,1,Rarely,Slightly stressed
25-35,Male,Student,Business,6.0,0,0.5,< 30 min,2,Moderate,8,Medium,Yes,Financial stress,Dissatisfied,9,Never,Slightly stressed
25-35,Male,Employee,Engineering,7.2,7,1.4,30-60 min,11,Easy,7,Low,No,None,Dissatisfied,5,Almost always,Slightly stressed
25-35,Male,Student,Education,7.5,0,2.7,30-60 min,7,Easy,3,Medium,Yes,Health-related stress,Satisfied,8,Often,Not stressed
18-24,Female,Student,Psychology,5.0,2,5.1,< 30 min,3,Moderate,4,High,No,None,Dissatisfied,1,Often,Slightly stressed
18-24,Female,Employee,Finance,7.5,8,6.4,< 30 min,8,Moderate,9,Medium,Yes,"Personal disappointment, Financial stress",Satisfied,8,Almost always,Highly stressed
36+,Female,Neither,None,6.4,1,3.5,< 30 min,1,Easy,7,High,Yes,"Financial stress, Transportation problem / car issue, Bad weather",Satisfied,9,Often,Not stressed
25-35,Female,Employee,Administration,6.6,6,6.4,1 hour,5,Moderate,9,Low,Yes,Bad weather,Dissatisfied,4,Often,Slightly stressed
18-24,Male,Student,Arts,5.6,3,5.3,< 30 min,4,Hard,6,High,Yes,Health-related stress,Dissatisfied,4,Often,Not stressed
18-24,Male,Student,Psychology,8.5,3,3.1,30-60 min,2,Moderate,7,Medium,Yes,"Personal disappointment, Arguing/conflict with someone",Satisfied,6,Almost always,Slightly stressed
36+,Male,Employee,Customer Service,6.8,9,3.0,1 hour,11,Easy,7,High,Yes,Bad weather,Satisfied,7,Almost always,Slightly stressed
36+,Male,Both,Psychology,6.4,9,5.7,< 30 min,9,Hard,6,Low,Yes,"Bad weather, Financial stress, Transportation problem / car issue",Satisfied,3,Often,Highly stressed
18-24,Male,Neither,None,8.3,0,2.6,< 30 min,3,Hard,5,High,Yes,Arguing/conflict with someone,Satisfied,3,Rarely,Slightly stressed
25-35,Female,Student,Psychology,8.6,1,1.2,30-60 min,7,Hard,3,Medium,Yes,"Financial stress, Bad weather, Academic/work failure or poor performance",Satisfied,6,Often,Slightly stressed
25-35,Female,Student,Biology,6.0,3,2.6,30-60 min,3,Easy,8,Medium,Yes,"Academic/work failure or poor performance, Health-related stress, Arguing/conflict with someone",Dissatisfied,7,Rarely,Slightly stressed
18-24,Female,Student,Engineering,8.1,3,4.3,< 30 min,3,Hard,3,High,No,None,Satisfied,5,Never,Not stressed
18-24,Female,Employee,Teaching,6.7,7,0.7,30-60 min,8,Easy,8,Low,Yes,"Academic/work failure or poor performance, Health-related stress",Satisfied,4,Often,Slightly stressed
18-24,Female,Employee,Engineering,7.2,7,1.6,30-60 min,8,Easy,8,Medium,Yes,Academic/work failure or poor performance,Satisfied,3,Rarely,Highly stressed
36+,Female,Student,Engineering,7.7,2,2.3,< 30 min,4,Moderate,10,Medium,Yes,Transportation problem / car issue,Satisfied,6,Never,Slightly stressed
18-24,Female,Employee,Administration,7.3,8,1.1,< 30 min,10,Moderate,3,Low,Yes,"Transportation problem / car issue, Health-related stress",Dissatisfied,5,Often,Slightly stressed
18-24,Female,Student,Law,6.0,0,2.5,< 30 min,6,Hard,3,High,No,None,Dissatisfied,5,Often,Slightly stressed
18-24,Female,Both,Engineering,6.2,8,6.0,1 hour,14,Easy,3,Medium,No,None,Satisfied,1,Often,Not stressed
25-35,Male,Both,Arts,6.9,11,6.8,> 2 hours,13,Easy,2,Medium,No,None,Satisfied,4,Often,Slightly stressed
<18,Female,Student,Medicine,8.9,1,0.9,1 hour,4,Easy,7,Low,Yes,"Personal disappointment, Financial stress",Satisfied,7,Almost always,Highly stressed
25-35,Female,Student,Business,6.3,1,2.4,30-60 min,2,Easy,10,Low,Yes,Financial stress,Satisfied,4,Rarely,Highly stressed
36+,Male,Both,Biology,6.4,8,4.2,< 30 min,13,Easy,8,Medium,No,None,Satisfied,3,Rarely,Slightly stressed
18-24,Male,Student,Law,8.1,3,6.0,30-60 min,4,Hard,3,High,Yes,Health-related stress,Satisfied,5,Rarely,Slightly stressed
18-24,Male,Employee,Engineering,6.6,6,4.6,1 hour,10,Easy,9,Low,Yes,"Arguing/conflict with someone, Bad weather, Financial stress",Satisfied,7,Rarely,Highly stressed
36+,Male,Student,Law,7.7,1,3.9,30-60 min,6,Easy,5,High,Yes,"Health-related stress, Financial stress",Satisfied,6,Often,Slightly stressed
